Key,en,es,ar
Dashboard,Dashboard,Panel,لوحة القيادة
Join Now,Join Now,Únete ahora,نضم الان
Menus,Menus,Menús,قوائم
Email Address,Email Address,Dirección de correo electrónico,عنوان البريد الإلكتروني
Subscribe,Subscribe,Suscribir,يشترك
is Proudly Powered by AppDevs,is Proudly Powered by AppDevs,está alimentado con orgullo por Appdevs,مدعوم من AppDevs بفخر
Name,Name,Nombre,اسم
Email,Email,Correo electrónico,بريد إلكتروني
Message,Message,Mensaje,رسالة
Send Message,Send Message,Enviar mensaje,إرسال الرسالة
Enter Name,Enter Name,Ingrese su nombre,أدخل الاسم
Enter Email,Enter Email,Ingrese correo electrónico,أدخل البريد الإلكتروني
Write Here,Write Here,Escribe aquí,اكتب هنا
Contact Request successfully send!,Contact Request successfully send!,¡Contacto Solicitud de contactar con éxito!,طلب الاتصال بنجاح إرسال!
Subscription successful!,Subscription successful!,Suscripción exitosa!,اشتراك ناجح!
Language Switch to English,Language Switch to English,El idioma cambia al inglés,تحول اللغة إلى اللغة الإنجليزية
Language Switch to Spanish,Language Switch to Spanish,El idioma cambia al español,تحول اللغة إلى الإسبانية
Language Switch to Arabic,Language Switch to Arabic,Idioma cambia al árabe,تحول اللغة إلى اللغة العربية
Enter Password,Enter Password,Introducir la contraseña,أدخل كلمة المرور
Forgot Password?,Forgot Password?,¿Has olvidado tu contraseña?,هل نسيت كلمة السر؟
Login Now,Login Now,Inicia sesión ahora,تسجيل الدخول الآن
Don't Have An Account?,Don't Have An Account?,¿No tienes una cuenta?,ليس لديك حساب؟
Register Now,Register Now,Regístrate ahora,سجل الان
By clicking Login you are agreeing with our,By clicking Login you are agreeing with our,"Al hacer clic en Iniciar sesión, está de acuerdo con nuestro",بالنقر فوق تسجيل الدخول ، فأنت توافق على
Terms of feature,Terms of feature,Términos de característica,شروط الميزة
First Name,First Name,Nombre de pila,الاسم الأول
Last Name,Last Name,Apellido,اسم العائلة
Password,Password,Contraseña,كلمة المرور
I have agreed with,I have agreed with,He estado de acuerdo con,لقد وافقت مع
Terms Of Use & Privacy Policy,Terms Of Use & Privacy Policy,Términos de uso y política de privacidad,شروط الاستخدام وسياسة الخصوصية
Please enter the code,Please enter the code,Ingrese el código,الرجاء إدخال الرمز
We sent a 6 digit code here,We sent a 6 digit code here,Enviamos un código de 6 dígitos aquí,أرسلنا رمزًا مكون من 6 أرقام هنا
You can resend the code after,You can resend the code after,Puede reenviar el código después,يمكنك إعادة تقديم الرمز بعد
Submit,Submit,Entregar,يُقدِّم
Back To,Back To,De regreso,ارجع الى
Login,Login,Acceso,تسجيل الدخول
Didn't get the code?,Didn't get the code?,¿No obtuvo el código?,لم تحصل على الرمز؟
Resend,Resend,Revender,إعادة إرسال
Mail Resend Success!,Mail Resend Success!,Correo de reiniciar el éxito!,إعادة إرسال البريد النجاح!
Please verify your mail address. Check your mail inbox to get verification code,Please verify your mail address. Check your mail inbox to get verification code,Verifique su dirección de correo. Verifique su bandeja de entrada de correo para obtener el código de verificación,يرجى التحقق من عنوان البريد الخاص بك. تحقق من صندوق البريد الخاص بك للحصول على رمز التحقق
Account successfully verified,Account successfully verified,Cuenta verificada con éxito,الحساب تم التحقق منه بنجاح
Reset Your Forgotten Password?,Reset Your Forgotten Password?,Restablecer su contraseña olvidada?,أعد ضبط كلمة المرور المنسية؟
Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps to securely reset your password.,Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps to securely reset your password.,Tome el control de su cuenta restableciendo su contraseña. Nuestra página de recuperación de contraseña lo guía a través de los pasos necesarios para restablecer de forma segura su contraseña.,تحكم في حسابك عن طريق إعادة تعيين كلمة المرور الخاصة بك. توجهك صفحة استرداد كلمة المرور الخاصة بنا من خلال الخطوات اللازمة لإعادة تعيين كلمة المرور الخاصة بك بشكل آمن.
Send OTP,Send OTP,Enviar OTP,إرسال OTP
Verification code sent to your email address.,Verification code sent to your email address.,Código de verificación enviado a su dirección de correo electrónico.,تم إرسال رمز التحقق إلى عنوان بريدك الإلكتروني.
Password Reset,Password Reset,Restablecimiento de contraseña,إعادة تعيين كلمة المرور
Reset Your Password,Reset Your Password,Restablecer su contraseña,اعد ضبط كلمه السر
Enter New Password,Enter New Password,Ingrese nueva clave,أدخل كلمة مرور جديدة
Enter Confirm Password,Enter Confirm Password,Ingrese Confirmar contraseña,أدخل تأكيد كلمة المرور
Reset,Reset,Reiniciar,إعادة ضبط
Password reset success. Please login with new password.,Password reset success. Please login with new password.,El éxito de restablecimiento de contraseña. Inicie sesión con una nueva contraseña.,إعادة تعيين كلمة المرور النجاح. يرجى تسجيل الدخول بكلمة مرور جديدة.
My Wallets,My Wallets,Mis billeteras,محافظتي
View More,View More,Ver más,عرض المزيد
Buy Crypto Chart,Buy Crypto Chart,Comprar gráfico criptográfico,شراء مخطط التشفير
Sell Crypto Chart,Sell Crypto Chart,Vender gráfico de cifrado,بيع مخطط التشفير
Buy Log,Buy Log,Comprar registro,شراء السجل
Transaction data not found!,Transaction data not found!,¡Datos de transacción no encontrados!,بيانات المعاملة غير موجودة!
Home,Home,Hogar,بيت
About,About,Acerca de,عن
Service,Service,Servicio,خدمة
Web Journal ,Web Journal ,Diario web,مجلة الويب
Contact,Contact,Contacto,اتصال
"Ex: Buy Crypto, Sell Crypto","Ex: Buy Crypto, Sell Crypto","Ej: comprar criptografía, vender cripto",على سبيل المثال: شراء التشفير ، بيع التشفير
Notification,Notification,Notificación,إشعار
All Wallets,All Wallets,Todas las billeteras,جميع المحافظ
No Wallet Found!,No Wallet Found!,¡No se encuentra la billetera!,لم يتم العثور على محفظة!
Wallet Details,Wallet Details,Detalles de la billetera,تفاصيل المحفظة
Available Network,Available Network,Red disponible,الشبكة المتاحة
Network Name,Network Name,Nombre de red,اسم الشبكة
Profile,Profile,Perfil,حساب تعريفي
Profile Settings,Profile Settings,Configuración de perfil,إعدادات الملف الشخصي
Delete Profile,Delete Profile,Borrar perfil,حذف الملف الشخصي
Country,Country,País,دولة
Select Country,Select Country,Seleccionar país,حدد الدولة
Phone,Phone,Teléfono,هاتف
Address,Address,DIRECCIÓN,عنوان
Enter Address,Enter Address,Ingresa la direccion,أدخل العنوان
City,City,Ciudad,مدينة
